date,ym,mongolia_ub_post_body_count,mongolia_ub_post_epu_count,mongolia_ub_post_ratio,news_total,mongolia_ub_post_weights,mongolia_ub_post_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2018-12-01,2018-12,7.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,2019-1,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,2019-2,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,2019-3,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,2019-4,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,2019-5,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,2019-6,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,2019-7,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,2019-8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,2019-9,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,2019-10,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,2019-11,1.0,1.0,1.0,1.0,1.0,7.117378857496748,7.117378857496748,7.117378857496748,2232.844574780059,4217.595307917889,2232.844574780059
2019-12-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2020-01-01,2020-1,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2020-03-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2020-04-01,2020-4,47.0,2.0,0.0425531914893617,47.0,1.0,0.3028671854253935,0.3028671854253935,0.3028671854253935,95.01466275659823,179.47214076246334,95.01466275659823
2020-05-01,2020-5,24.0,2.0,0.08333333333333333,24.0,1.0,0.5931149047913956,0.5931149047913956,0.5931149047913956,186.07038123167155,351.4662756598241,186.07038123167155
2020-06-01,2020-6,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,2020-7,12.0,1.0,0.08333333333333333,12.0,1.0,0.5931149047913956,0.5931149047913956,0.5931149047913956,186.07038123167155,351.4662756598241,186.07038123167155
2020-08-01,2020-8,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,2020-9,9.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,2020-10,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2020-12-01,2020-12,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,2021-1,15.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021-2,9.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,2021-3,20.0,1.0,0.05,20.0,1.0,0.3558689428748374,0.3558689428748374,0.3558689428748374,111.64222873900293,210.87976539589445,111.64222873900293
2021-04-01,2021-4,20.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,2021-5,15.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,2021-6,17.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,2021-7,9.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,2021-8,10.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,2021-9,9.0,1.0,0.1111111111111111,9.0,1.0,0.7908198730551941,0.7908198730551941,0.7908198730551941,248.0938416422287,468.6217008797654,248.0938416422287
2021-10-01,2021-10,9.0,1.0,0.1111111111111111,9.0,1.0,0.7908198730551941,0.7908198730551941,0.7908198730551941,248.0938416422287,468.6217008797654,248.0938416422287
2021-11-01,2021-11,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,2021-12,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2022-1,5.0,1.0,0.2,5.0,1.0,1.4234757714993496,1.4234757714993496,1.4234757714993496,446.5689149560117,843.5190615835778,446.5689149560117
2022-02-01,2022-2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,2022-3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,2022-4,4.0,1.0,0.25,4.0,1.0,1.779344714374187,1.779344714374187,1.779344714374187,558.2111436950147,1054.3988269794722,558.2111436950147
2022-05-01,2022-5,5.0,1.0,0.2,5.0,1.0,1.4234757714993496,1.4234757714993496,1.4234757714993496,446.5689149560117,843.5190615835778,446.5689149560117
2022-06-01,2022-6,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2022-08-01,2022-8,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,2022-9,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,2022-10,3.0,1.0,0.3333333333333333,3.0,1.0,2.3724596191655825,2.3724596191655825,2.3724596191655825,744.2815249266862,1405.8651026392963,744.2815249266862
2022-11-01,2022-11,7.0,1.0,0.14285714285714285,7.0,1.0,1.016768408213821,1.016768408213821,1.016768408213821,318.9777963971512,602.5136154168413,318.9777963971512
2022-12-01,2022-12,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,2023-1,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,2023-2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,2023-3,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,2023-4,4.0,1.0,0.25,4.0,1.0,1.779344714374187,1.779344714374187,1.779344714374187,558.2111436950147,1054.3988269794722,558.2111436950147
2023-05-01,2023-5,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,2023-6,6.0,1.0,0.16666666666666666,6.0,1.0,1.1862298095827912,1.1862298095827912,1.1862298095827912,372.1407624633431,702.9325513196482,372.1407624633431
2023-07-01,2023-7,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2023-09-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2023-10-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2023-11-01,2023-11,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,2023-12,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,2024-1,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,2024-2,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,2024-3,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,2024-4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,2024-5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,2024-6,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2024-08-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2024-09-01,2024-9,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,2024-10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,2024-11,4.0,1.0,0.25,4.0,1.0,1.779344714374187,1.779344714374187,1.779344714374187,558.2111436950147,1054.3988269794722,558.2111436950147
2024-12-01,2024-12,2.0,1.0,0.5,2.0,1.0,3.558689428748374,3.558689428748374,3.558689428748374,1116.4222873900294,2108.7976539589445,1116.4222873900294
2025-01-01,2025-1,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,2025-2,4.0,1.0,0.25,4.0,1.0,1.779344714374187,1.779344714374187,1.779344714374187,558.2111436950147,1054.3988269794722,558.2111436950147
2025-03-01,2025-3,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,2025-4,7.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,2025-5,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,2025-6,9.0,2.0,0.2222222222222222,9.0,1.0,1.5816397461103882,1.5816397461103882,1.5816397461103882,496.1876832844574,937.2434017595308,496.1876832844574
2025-07-01,2025-7,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,2025-8,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,2025-9,7.0,1.0,0.14285714285714285,7.0,1.0,1.016768408213821,1.016768408213821,1.016768408213821,318.9777963971512,602.5136154168413,318.9777963971512
