,LOC,ORG,GPE,WORK_OF_ART,url
17,"Kolombangara Island, Kennedy Island, Naru Island, Naru Islands","Solomon Islands Scouts, the US Embassy, Navy, Marine Corps Medal, the Pacific Campaign, Gizo Public School, Catholic Church","US, Australia, Solomon Islands, UNITED States, Canberra, the Western Province, the United States, Amagiri , Sairagi Village, West Gizo",Patrol Torpedo Boat,https://www.solomonstarnews.com/embracing-the-past/
18,Ranongah island,"Dekere Point, Gizo Hospital, ULUTAH GINA","Gizo, Lale village, the Western Province, us, Simbo Island, Rannogah Island",The Gizo Police Stubby boat,https://www.solomonstarnews.com/tragic-boat-accident-claims-one-life/
19,,"the Ministry of Health and Medical Services, Hospital of the Guizhou Medical University, the Medical Corporation, MHMS, NRH, the Government of China","Guizhou Province, the People’s Republic of China, Beijing, Honiara, the Solomon Islands",,https://www.solomonstarnews.com/dr-togamana-to-lead-ministerial-delegation-to-china/
20,"the Solomon Islands, Independence","China & US, Opposition Press","China, Beijing",,https://www.solomonstarnews.com/wale-slam-pms-i-am-back-home-statement-in-china/
21,,"the Ministry of Health and Medical Services, the High Court, Accountant Hatigeva, Maena, the Solomon Islands Government, Wesley Poloso of Eroba Shipping Service, Joke Shipping Service, Biliki",Honiara,,https://www.solomonstarnews.com/health-scandal-awaits-trial/
22,"Pacific, the Global Development Initiative","the State Council (Head of Government of China, OPMC, Global Security Initiative, Global Security Initiative and Global Civilization Initiative","China, SI, PRC, Belt, Solomon Islands, new heights",,https://www.solomonstarnews.com/prime-minister-sogavare-reaffirms-solomon-islands-respect-for-one-china-policy/
23,"East Malaita, New Asia Mining","SAA, Ward 16, the New Asia Mining Company, the New Mining Company, Atori Police, The New Asian Mining Company, MNGFR, the New Asian Mining Company","Makakwai, Auki, Honiara, East Malaita",,https://www.solomonstarnews.com/miner-face-resistance/
24,,"Tuvaruhu, the East Kwaio Constituency Landing Craft, Gulatatae 1, Central Police","Australia, China",,https://www.solomonstarnews.com/police-one-vehicle-excuse-under-spotlight/
25,South Pacific Games,"the National Hosting Authority, the Government of Indonesia at Panatina, The Solomon Islands Football Federation, Taiwanese Farm, LACHLAN EDDIE","the People’s Republic of China, PRC, Solomon Islands, Honiara",The Water Facilities,https://www.solomonstarnews.com/stadium-funding-is-a-grant-not-loan-rodgers/
26,the North Malaita,"The Democratic Coalition Government for Advancement (DCGA, the Solomon Islands Government Economic Stimulus Package, The Malu’ú Wharf, RAMP, Maluú",Malaita Province,PM’s Press Secretariat,https://www.solomonstarnews.com/pm-confirms-10-million-allocation-to-premier-fini/
27,"Solomon Islands, Independence Anniversary","Great Britian, the St Barnabas Cathedral, Solomon Islands Government, the United Nation, the South Seas Evangelical Church","Great Britain, Sovereign State, Solomon Islands",Rising Above and Overcoming our Challenges,https://www.solomonstarnews.com/journey-of-faith/
28,"Pacific, the Pacific Ocean, Pacific Islands Forum, the Solomon Islands","IAEA, SOLOMON Islands Government, SIG, the International Atomic Energy Agency, the Ministry of Foreign Affairs, Solomon Islands Government, United Nations General Assembly Meeting, the Blue Pacific Continent, 51st Pacific Islands Forum Leaders Meeting","Tokyo, Japan, Fukushima, Solomon Islands, New York, Honiara","Pacific, the Communique of the 2022",https://www.solomonstarnews.com/defer-your-decision/
29,"Solomon Islands, Independence","Independence, the Democratic Coalition Government for Advancement (DCGA, November Riots, Pacific brothers, Challenge, Celebrate, Guadalcanal, Land and Development, Commodities Export Marketing Authority, Climate Change and Development partners, Christian Cultural Values, OPMC",Ukraine,Rising above,https://www.solomonstarnews.com/rising-above-and-overcome-our-challenges-as-one-people/
30,"Kolombangara Island, Kennedy Island, Naru Island, Naru Islands","Solomon Islands Scouts, US Embassy, Navy, Marine Corps Medal, the Pacific Campaign, Gizo Public School","Australia, Honiara, Canberra, Western Province, the United States, Solomon Islands, Amagiri , the Western Province, Sairagi Village, West Gizo",Patrol Torpedo Boat,https://www.solomonstarnews.com/us-ambassador-kennedy-arrives-in-honiara/
31,Pacific,"State, the Central Bank of Tonga","US, Tonga, Solomon Islands, Kingdom, China, U.S., Australia, Beijing, Micronesia, the United States",Akilisi Pōhiva,https://www.solomonstarnews.com/frank-response/
32,,"Optic Marine Services, Solomon Islands Cable Company, SISCC, Lodbrog, the Cable Company, the CS Lodbrog, Telstra, Cheers, Auki, Noro, Bemobile","Auki, Noro, Telstra, Honiara, the Western Province, Malaita",All our Services for Malaita and Choiseul,https://www.solomonstarnews.com/cable-links-restored/
33,,"the National Referral Hospital, Kukum","East Honiara, 9.30am, Sialo, Kukum",,https://www.solomonstarnews.com/man-faces-rape-trial-this-week/
34,,"THE Constituency Development Fund, CDF, Ministry of Rural Development, MRD, Jeremiah Manele, National General Election, Parliament, Kolomola, Katova, Kia, CPO, Hon Manele, HKH, Hirobuka school, OBM, Zotu, External Trade, Wilson Gigi, Hirobuka School, Constituency Office","Isabel Province, Kolotubi, Susubona, Furona",Hograno-Kia-Havulei Constituency,https://www.solomonstarnews.com/cdf-transforms-lives-in-hograno-kia-havulei-constituency/
35,"Solomon Islands, the Arabian Peninsula, the Middle East",Letter of Credence,"Honiara, the Kingdom of Saudi Arabia, Solomon Islands, The Kingdom of Saudi Arabia",,https://www.solomonstarnews.com/sir-david-acknowledges-saudi-support/
36,,"the Solomon Islands United Party, SIUP, Parliament, MP Tuasulia, Parliament for East Are’are, Auki","West Kwara’ae, West Kwara’ae Constituency, Solomon Islands, West Kwaio, West New, Georgia, East Are’are",Hon Tuasulia,https://www.solomonstarnews.com/siup-supporters-welcome-tuasulias-membership-of-the-party/
37,"The Central Islands Province, the Central Islands Province","the Second Chinese Medical Team, CMT, ECG, the Tulagi Hospital","Honiara, Tulagi, Yandina, the Russell Islands",,https://www.solomonstarnews.com/premier-gailegu-appreciates-cmt-visit-to-cip/
38,Pacific,"THE Australian Federal Police, AFP, the Royal Solomon Islands Police Force, RAPPP, SIAF, Mangau, RSIPF, National Response Department, NRD","Honiara, the Solomon Islands",,https://www.solomonstarnews.com/afp-delivers-sbd7-5m-support-package-to-rsipf/
39,,"PNG, the Pacific Australia Labour Mobility, PALM","Australia, the Australian Biosecurity, Solomon Islands, Papua New Guinea",,https://www.solomonstarnews.com/weight-limit-imposed-on-australian-bound-mustard-packages/
40,"Pacific, Asia, Royal Artillery, the Solomon Islands","Royal Navy, HMS Tamar, the Royal Navy, the British High Commission, the Royal Solomon Islands Police, Ballalae, Royal Artillery","UK, Solomon Islands, THE United Kingdom, Honiara, Australia, Papua New Guinea, Gizo, the Solomon Islands, the Shortland Islands, Nauru, Thomas Coward, Tamar",HMS Tamar,https://www.solomonstarnews.com/hms-tamar-here/
41,artificial island building,"The Busu Cultural Centre, Solomon Star Auki, the Busu Cultural Centre, Langa Langa, Wilson Saeni, Dakero, WILSON SAENI","Malaitan, canoe, Auki",Shell Money,https://www.solomonstarnews.com/busu-shell-money-festival-back-in-august/
42,"Pacific, Solomon Islands","Solomon Islands Government, Canberra, the Australian Government, Sogavare, SIG, the ‘Police Cooperation Plan’, the Solomon Islands Government, the Royal Solomon Islands Police Force, the Solomon Islands Ministry of Police, National Security, Correctional Service, the Ministry of Public Security of the People’s Republic of China, New Zealand Police Programme, The Ministerial Programme, Police Programme RSIPF, AFP, the November Riots, PM’s Press Secretariat/Solstar","Beijing, China, Solomon Islands, Honiara","The Police Programme, The Implementation Plan, The Solomon Islands National Security Strategy",https://www.solomonstarnews.com/respect-our-sovereignty/
43,"Solomon Islands, Pacific Island, South-South, Pacific Island Countries","Foreign Ministry, customs, the National People’s Congress (NPC), Wang, GDI, GCI","Solomon Islands, China, Beijing, Jiangsu Province, Guangdong Province",,https://www.solomonstarnews.com/sogavares-china-visit-takes-relations-to-new-height-fm-spokesman/
44,"Pacific, the Pacific Ocean","National Executive Council, NEC, Cabinet, the International Atomic Energy Agency, IAEA, PNG, the Fukushima Daiichi Nuclear Power Plant, the National Executive Council, the Japanese Government, Seek NEC, the Pacific Islands Forum Special Leaders’ Summit, Pacific Island Countries, Submission","NEW GUINEA, Australia, Japan, Tokyo",,https://www.solomonstarnews.com/why-png-supports-nuclear-dumping-in-the-pacific/
45,Pacific,"Naha Birthing and Urban Health Centre, Solomon Islands Infrastructure Programme, SIIP, Alrico Construction, the Ministry of Health and Medical Services, MHMS, MHMS Permanent, the National Referral Hospital, NRH, the Australian Government through DFAT (Department of Foreign Affairs and Trade, LACHLAN","Australia, Honiara",,https://www.solomonstarnews.com/naha-health-centre-construction-to-begin-sept-oct/
46,,"Public Solicitor’s Office, the National Referral Hospital",Honiara,a No Case to Answer,https://www.solomonstarnews.com/defence-to-make-no-case-to-answer/
47,,"CHINA, the Minister Counselor, the Chinese Embassy, the Embassy to Yandina Community High School, the School Principal, the Scholarship (Board, Chinese Universities","Honiara, China, Solomon Islands, Australia",,https://www.solomonstarnews.com/young-people-are-the-future-of-a-country-minister-counsellor-ding/
48,,"the Ministry of Health and Medical Services, the Malaita Provincial Health Authority, the Malaita Provincial Health Authority Promotion, the Provincial Health Authority, the Laugwata Community, the Model Community Programme, the South Seas Evangelical Church, the Laugwata SSEC Church, Rara, the Community Model Programme","West Kwara’ae, Malaita Province",,https://www.solomonstarnews.com/malaita-health-authority-delivers-support-to-laugwata/
49,,"Parole Orders, Rove Central Correctional Centre, the Ministry of Police, National Security & Correctional Services, the Correctional Service Solomon Islands, CSSI, Mactus Forau, the Parole Board, the Parole Order for Sam, Parole Application Hearings, the Solomon Islands Parole Board, The Parole Board, the Correctional Service’s","Malaita Province, Western Province, Honiara",,https://www.solomonstarnews.com/inmate-released-on-parole-orders/
50,,"THE National Government through, the Ministry of Mines and Energy, Parliament, the Ministry of Infrastructure Development, MID, Honiara City Council, HCC","Honiara City, Tovosia",,https://www.solomonstarnews.com/plans-to-improve-street-lights/
51,Pacific,"THE Solomon Islands Government, the Regional Assistance Mission, the Government of Australia, Pacific Island Countires, Australia Federal Police, LACHLAN EDDIE HOESolomon Star","Solomon Islands, Australia, New Zealand, Honiara",Helpim Fren,https://www.solomonstarnews.com/sig-thank-ramsi-for-restoration-of-peace/
52,Solomon Islands,"Air Service Agreement, The Ministry of Foreign Affairs, External Trade, the New Zealand Ministry of Transport, ASA, the Ministry of Communication & Aviation, MCA, the Ministry of Culture and Tourism, MCT, the Civil Aviation Authority, CAASI, the Chief-Negotiators","Solomon Islands, New Zealand, Honiara",,https://www.solomonstarnews.com/new-treaty-sealed/
53,,Parliament,,,https://www.solomonstarnews.com/si-citizenship-cheaply-granted-to-undeserving-candidates-wale/
54,,"LEADER of Opposition, Sogavare, the Leader of Opposition, Solomon Airlines, SPM, the Ministry of] Finance, Opposition Press","China, Honiara",,https://www.solomonstarnews.com/wale-slams-pms-drop-in-the-ocean/
55,,"SINU, Solomon Islands National University, the University of some $3.3 million, Aqorau, Wakaman Inc., Wakaman Inc.’, NUR Courses, Medical Sciences, the Acting Director Properties and Facilities, the Senior Marketing & Promotions, the Finance Logistic/Revenue Enforcement, Wakaman Inc Payments",,SINU,https://www.solomonstarnews.com/no-wrongdoing/
56,Solomon Islands,"the Ministry of Foreign Affairs, External Trade, the Permanent Mission of Solomon Islands","China, Chargè, Geneva, Switzerland, Solomon Islands, Western Province",SALATO,https://www.solomonstarnews.com/barrett-salato-is-our-new-ambassador-to-china/
57,,"PPC, the New Asian Mining Company, Solomon Star Auki, PPC Kili, New Asia Mining Company, WILSON SAENI","East Malaita, Honiara, East Falaleka, Auki",,https://www.solomonstarnews.com/ppc-kili-calls-on-landowners-to-act-lawfully/
58,"Solomon Islands, Asia","Implementation of the Police Cooperation, the Ministry of Public Security of the, the Ministry of Police and National Security and Correction Service of Solomon Islands, Solomon Islands Law Enforcement Capacity, the Royal Solomon Islands Police Force, VSF, National General Election, United Nation, the Ministry of Environment, National Disaster and Meteorology, the Ministry of Emergency Management, China Meteorology, Disaster Management, the United Nations, the Foreign Affairs, External Trade, the China Council for Promotion of International Trade, the Ministry of Agriculture and Live, China International Development Cooperation, the Ministry of Rural Development, Civil Air, the Joint Chinese Language Education, the Ministry of Education of the, the Ministry of Education and Human Resource Development, Language Teaching Advisor","China, the Peoples Republic of China, PRC, Solomon Islands",,https://www.solomonstarnews.com/pm-strikes-9-deals/
59,,"the Royal Solomon Islands Police Force, China Police Liaison Team, CPLT, Mangau, Closing, Police Media Unit",Solomon Islands,,https://www.solomonstarnews.com/police-children-learn-basic-kung-fu-martial-art/
60,"Solomon Islands, Pacific","Solomon Islands Government, Royal Solomon Islands Police Force, Solomon Islands Ministry of Police, National Security, Correctional Service, the Ministry of Public Security of the People’s Republic of China, New Zealand Police Programme, The Ministerial Programme, Police Programme RSIPF, AFP, Implementation Plan, UAV, the November Riots, OPMC Media","Solomon Islands, China, Honiara",,https://www.solomonstarnews.com/police-cooperation-plan-is-to-improve-royal-solomon-islands-police-force/
61,Solomon Islands,"GROUP, the University of Queensland, New Colombo Mobility Project, the Australian High Commission, the Solomon Islands Australia Partnership","Solomon Islands, Australia, Honiara, Choiseul Province",,https://www.solomonstarnews.com/university-of-queensland-reps-visit-si/
62,,"the Western Provincial Government, WPG, Western Provincial Investment Cooperation, the Ministry of the Provincial Government and Institutional Strengthening, MPGIS, WPIC Committee, the Western Development Corporation, the National Government, the Western Provincial Investment Cooperation, ULUTAH GINA",Western Province,The Monster,https://www.solomonstarnews.com/former-wp-premier-gina-concerned-over-creation-of-new-committee/
63,45th Independence Anniversary,"SIBC, the Church and Government","lesbian, gay, China, Solomon Islands",,https://www.solomonstarnews.com/western-donors-accused-of-using-lqbtiqa-as-weapon-to-access-their-funding-assistance/
64,Duff Island,"High Court, the National Referral Hospital, Public Solicitor’s Office","Lata, Temotu Province, Honiara, Maetalulu",,https://www.solomonstarnews.com/in-court-with-assumpta-39/
65,"Solomon Islands, the Asia-Pacific","Sogavare, PNG, Citizens, Opposition Press","China, Solomon Islands, Australia, New Zealand, Fiji, Papua New Guinea, US",,https://www.solomonstarnews.com/policing-treaty-could-undermine-peace-and-security-in-si-region-wale/
66,Pacific Island Countries,"Pacific Maritime Alliance Conference, the Pacific Maritime Alliance",Honiara,,https://www.solomonstarnews.com/acting-pm-encourages-innovation-in-maritime-development/
67,,"Island Sun, National Security, Correctional Services, The Island Sun, the Ministry of Forestry, Opposition Press",Cape West Enterprise Limited,,https://www.solomonstarnews.com/who-is-the-higher-authority-wale-probes-logging-shipment-directive/
68,"Solomon Islands, Embassy, the Belt and Road Initiative","Solomon Islands Government Ministers, the Office of Foreign Affairs Commission, the Communist Party of China’s Central Committee, Embassy, Solomon Islands Embassy, PM and Madam Sogavare, UN, the UN Charter, Solomon Islands Community, OPMC","Beijing, Peoples Republic of China, Solomon Islands, the People’s Republic of China, Taiwan",,https://www.solomonstarnews.com/prime-minister-officially-opens-solomon-islands-embassy-in-beijing/
69,"Solomon Islands, South-South, the Pacific Islands, the Belt and Road Initiative, the Global Development Initiative","the United Nations, the Pacific Islands Forum, Sogavare, customs","China, Beijing, Solomon Islands",,https://www.solomonstarnews.com/china-deepens-partnership-with-si/
70,,"Sultan Fahad, Energy, Sports Federations, Solomon Islands Broadcasting Corporation, Education","Saudi Arabia, Solomon Islands, the Kingdom of Saudi Arabia",,https://www.solomonstarnews.com/pm-sogavare-meets-saudi-arabia-ambassador/
71,,"the 11th Parliament, High Court, the High Court, the Independent Group, the eleventh Parliament",Honiara,a King’s Counsel (KC,https://www.solomonstarnews.com/hearing-begins/
72,,"the Solomon Islands National University, Aqorau, University Council, SINU",,Dr Aqorau is a very rare person in the country.,https://www.solomonstarnews.com/sinu-vc-gets-a-salute/
73,,"the national tertiary institution, the Solomon Islands National University, the Honiara Magistrate Court, Practical Observation, State-Owned, the Carpentry, Joinery Department Office, SINU, the Naha Police Station",Honiara,,https://www.solomonstarnews.com/trial-looms/
74,Solomon Islands,"The Royal Solomon Islands Police Force, the High Court Civil Case on Constitutional Amendment Bill 2022",Honiara,,https://www.solomonstarnews.com/business-as-usual-in-honiara-commissioner-mangau/
75,,"the Parliament House, The Bank South Pacific, Honiara High School, The Naha Police Station, the Naha Community, the Naha Police Station, Kukum Traffic Centre, Government, the National Referral Hospital","Honiara, Taiwan, China, Australia, Fiji, New Zealand, Papua New Guinea","Taking Part in Unlawful Assembly, a No-Case to Answer to the charge of Causing Death by Reckless Driving",https://www.solomonstarnews.com/in-court-with-assumpta-40/
76,Tina River,"the Government of Republic of Korea, the Hyundai Kosol Office, PM Mannasseh Sogavare & Honory Counsul, Reublic of Korea, SIG, Santa Fe Vehicles, the National Hosting Authority, the Games Organizing Committee, NHA","the Republic of Korea, Solomon Islands, Ranadi, Honiara",,https://www.solomonstarnews.com/pm-sogavare-receives-first-14-of-40-vehicles-from-republic-of-korea-for-the-pacific-games/
77,"Kukum, Central",Kukum,,,https://www.solomonstarnews.com/father-questions-police-over-sons-petrol-bombing/
78,"Solomon Islands, Pacific","International Development, the Regional Assistance Mission, Conroy, Australia Awards, the Solomon Islands National University","Solomon Islands, Australia, Solomon Islands’, Honiara, the Solomon Islands",,https://www.solomonstarnews.com/australian-minister-visits-si/
79,,"Beulah Secondary School, Beulah School, ULUTAH GINA",Western Province,,https://www.solomonstarnews.com/beulah-school-taken-action-to-rectify-water-problem/
80,,"the Royal Solomon Islands Police Force, Royal Solomon Island Police Force, Australian Federal Police, Policing Partnership Program, RAPPP, the RSIPF Executive, Asia Pacific Command, the Australian Federal Police, AFP, AFP Policing Partnership Program","Rove, Australia",,https://www.solomonstarnews.com/seven-new-vehicles-handed-over-to-rsipf/
81,,"THE SINU Management, Aqorau, the Faculty of Nursing",,"Facilities, SINU",https://www.solomonstarnews.com/sinu-charges-five-staff-for-gross-misconduct/
82,Pacific,"Climate Ambition, OPMC","Solomon, Solomon Islands, France",,https://www.solomonstarnews.com/french-seeks-to-deepen-ties-with-si/
83,"North Island, Solomon Islands","PMN Solomons, Trixy Ubnul, Aotearoa Community, Zambian Community, the FIFA Women’s World Cup 2023, the Solomon Islands Community","New Zealand, Solomon Islands",,https://www.solomonstarnews.com/solomon-islanders-celebrate-language-week-in-nz/
84,,"Mr Tuasulia, DBL Lawyers, WILSON SAENI","West Kwara’ae, Bubuitolo, Taisol, Kairi, Auki",,https://www.solomonstarnews.com/election-petition-looms/
85,,"TB, the Helena Goldie Hospital, the Japan International Cooperation Agency, the Ministry of Health and Medical Services, HGH, MHMS, the Gizo Hospital, NFD, the United Church, LACHLAN EDDIE","Munda, Western Province, Soltuna, New Georgia Island, Honiara",,https://www.solomonstarnews.com/jica-donates-x-ray-machine-to-hgh/
86,,"National Parliament, the National Referral Hospital, NRH, Paediatric Department, the National Parliament Office, FLOYD TERRY","Fiji, Honiara",,https://www.solomonstarnews.com/sir-john-assists-sick-childs-fiji-travel/
87,,"Constituency Development Fund, CDF, the Solomon Islands National University, The Ministry of Rural Development, MRD, Samson Viulu MRD Permanent, the SINU Faculty of Education & Humanities, Solomon Islands Constituency Development, Cabinet, SICD, the DCGA Government, Parliament, the Solomon Islands Government, SIG, the Ministry of Rural Development",,,https://www.solomonstarnews.com/public-symposium-on-new-cdf-law-set-6-july/
88,"Pacific, the Pacific Ocean, Asia-Pacific, Pacific Islands Countries, Cook Islands","the International Atomic Energy Agency, IAEA, IAEA Secretariat, the Blue Pacific, NZ, Marape, National Executive Council, NEC, PNG, Radio New Zealand, Fumio Kishida, Fukushima Daiichi Nuclear, RNZI, New Guinean, the Center for Environmental Law and Community Rights (CELCOR, Pacific Islands Forum","Japan, Tokyo, Viena, Austria, Korea, New Zealand, Papua New Guinea, South Korea, Tohoku",PM Marape,https://www.solomonstarnews.com/widespread-opposition/
89,,"The Opposition Office, the ministry of education & human resources development, the Ministry of Forestry, Beulah Secondary School",,,https://www.solomonstarnews.com/wale-calls-for-investigation-into-beulah-school-closure-because-of-logging/
90,,"the Ughele Community, WPHMT, Helena Goldie Hospital, HGH, LACHLAN EDDIE","South Rendova, Western Province, New Georgia Island, Honiara",,https://www.solomonstarnews.com/ughele-clinic-in-need-of-registered-nurse/
91,,"the High Court, Parliament, the Court of Appeal, The Court of Appeal","Pana, Tulagi, Honiara",The 2016 Act,https://www.solomonstarnews.com/underage-abuser-sentenced-for-nine-years/
92,Solomon Islands,"Pacific Adventist University, PAU, the South Pacific Division of the, Adventist Church, the national Government, the Solomon Islands Government, PM Sogavare, OPMC",New Guinea,,https://www.solomonstarnews.com/pau-offers-collaboration-and-partnership-with-sig/
93,the Ziata River,"Beulah Provincial Secondary School, Beula School Administration, the Western Provincial Education Authority, the Department of Education, the Western Provincial Government, WPG, ULUTAH GINASolomon Star",Western Province,WPEA,https://www.solomonstarnews.com/logging-affects-school/
94,,"THE Media Association Solomon Islands, MASI, the ministry of health and medical, SIBC, UNICEF Solomon Islands, the MASI Secretariat, the MASI Public Relations Award 2022",Atenia,Masters in Communication at the University of Westminster,https://www.solomonstarnews.com/masi-mourns-unexpected-loss-of-media-colleague/
95,,"Parliament, Undesirably, RSIPF Media, Youths, the Forum Fisheries Agency, the Commonwealth of Nations","Solomon Islands, Honiara",,https://www.solomonstarnews.com/kings-birthday-celebrated-with-recaps-of-kings-words-to-solomon-islanders/
96,Solomon Islands,"Commonwealth, the Prince and Princess of Wales, the Upton Scouts Hut, the COVID-19 Oversight Committee","Solomon Islands, Honiara, the United Kingdom, UK, COVID19",“The Big Help Out.,https://www.solomonstarnews.com/the-royal-pomp/
97,"the Central Islands, Malaita, the Matanikau River, Central Honiara, The Matanikau River","Birao Ward, Guadalcanal Provincial Finance, Yacht Club, Point Cruz, MPA, Denver Newter","East Guadalcanal, Guadalcanal Province, Honiara, Isabel, Matanikau, Central Islands Province",,https://www.solomonstarnews.com/mpa-wants-responsible-authorities-find-safe-berthing-site-for-boat-commuters/
98,North Malaita,"the Malaita Eagle’s Force, Knight Grant Cross, Order of Saint Michael, Knight of Grace, Order of Saint John, the Royal Solomon Islands Police Force, Police Field Force, the Committee of Prerogative of Mercy","Honiara, Sulagwalu village, Saint George, Solomon Islands, Saeni",Patterson Saeni,https://www.solomonstarnews.com/former-pff-militant-pardoned/
99,,"Joe Moffin, the Honiara Magistrate Court","Burns Creek, East Honiara",,https://www.solomonstarnews.com/men-to-plea-to-firearm-charge/
100,,"THE Kilu’ufi Hospital Medical Imaging, the Kilu’ufi Hospital Medical X-ray Department, Japan International Cooperation Agency, the Hospital’s Medical Imaging, X-ray department, WILSON SAENI",Auki,,https://www.solomonstarnews.com/new-mobile-x-ray-installed-at-kiluufi-hospital/
101,"West Papua, the Free West Papua","Malaita Provincial, Ap, Auki, Solomon Star Auki, WILSON SAENI","Netherlands, West Papua, Indonesia, Auki, Honiara, Malaita Province",Malaita,https://www.solomonstarnews.com/malaitans-learn-about-west-papuans-struggle-for-self-determination/
102,,"HCC-MFMR’s, JOINT, the Honiara City Council, the Fisheries Department, the Ministry of Fisheries, Marine Resources, Kukum, Z.H.B Goods Ltd, Titus Apai, Z.H.B Goods Ltd., the NCID Police and Ministry of Fisheries Team, Mr Ruwei, the Ministry of Fisheries Act and Regulations, Mr Rumei",Apai,,https://www.solomonstarnews.com/trochus-seized/
