,LOC,ORG,GPE,WORK_OF_ART,url
67,,"the DJ League, the National Club Championship",Koloale,,https://www.solomontimes.com/news/koloale-survives-marist-onslaught/209
68,,"Sogavare, the national parliament chamber, Auki",,,https://www.solomontimes.com/news/sogavare-praises-late-ulufaalu/203
69,,"the National Broadcasting Commission, Fiji Broadcasting Corporation, PINA, Journalist Association of Samoa's, MASI, AGM, Vanuatu","Vanuatu, Fiji",,https://www.solomontimes.com/news/new-pina-board-elected/201
70,Solomon Islands,the Regional Assistance Mission,Solomon Islands,Aoke-Langalanga,https://www.solomontimes.com/news/condolence-by-ramsi-for-late-ulufaalu/202
71,,"Government, the Public Service Commission, PSC",,,https://www.solomontimes.com/news/government-may-set-up-review-commission/194
72,,"State, Parliament House, the Holy Cross Cathedral, Auki",,,https://www.solomontimes.com/news/late-ulufaalu-honored-with-state-funeral-today/200
73,,"PINA, The Former Central Bank of Solomon Islands, Hughes, Pacific Islands News Association Convention",,,https://www.solomontimes.com/news/professional-economic-journalism-needed-hughes/195
74,,"The Peoples Alliance Party, PAP, AIM, PAP Parliamentarians, the National Parliament, PAP Parliamentary, the Alliance of Independent Members, Kengava, Association of Independent, the Parliamentary Opposition",,,https://www.solomontimes.com/news/pap-to-decide-on-allegiance/204
75,,"The Church of Melanesia, Anglican Church, University Programme, the Church of Melanesia","the Solomon Islands, North Guadalcanal",,https://www.solomontimes.com/news/church-of-melanesia-to-set-up-own-university/206
76,,"Police and Prison Service Commission, the Government House, State, Andersen, the Police and Prison Services Commission",,,https://www.solomontimes.com/news/andersen-denied-he-stormed-out/198
77,Pacific,"Solomon Star Company, The Solomon Star Newspaper",the Solomon Islands,,https://www.solomontimes.com/news/solomon-star-celebrates-bicentennial-anniversary/207
78,the Pacific islands,"the Pacific Islands News Association, Media Association of Solomon Islands, MASI, PINA, the Tonga Broadcasting Commission",Tonga,,https://www.solomontimes.com/news/media-freedom-honour-given-to-tongan-newspaperman/205
79,,"The Solomon Islands Government, the Solomon Islands General Workers Union, the Solomon Islands Liberal Party",the Solomon Islands,,https://www.solomontimes.com/news/long-time-politician-and-former-prime-minister-dies/196
80,,"Chinatown, Lands, Town Council Physical Planning Board, the Town and Country Planning Board","Honiara City Clerk, Chinatown",,https://www.solomontimes.com/news/chinatown-redevelopment-plan-approved/197
81,,"The National Disaster Management Office Program, PINA, Maka'a",Honiara,,https://www.solomontimes.com/news/36588-people-affected-by-tsunami-disaster/199
82,,"Central Bank of Solomon Islands, PINA",SI,,https://www.solomontimes.com/news/solomon-islands-foreign-reserves-continue-to-rise/185
83,,"the Pacific Islands News Association, PINA, the Tonga Broadcasting Commission, the Media Association of Solomon Islands, MASI, a national media association","Honiara, the United States, Suva",,https://www.solomontimes.com/news/pina-convention-opens-today/189
84,,"PINA, being""Lilo, PNG",Papua New Guinea,,https://www.solomontimes.com/news/economic-base-needs-to-be-broadened-lilo/191
85,Kwaso,"The Liquor Licensing Squad, Kukum, Kwaso, the Liquor Licensing Squad, the National Referral Hospital, Selling Alcohol, Honiara Magistrates Court",Honiara,,https://www.solomontimes.com/news/liquor-licensing-squad-targets-illegal-outlets/184
86,Port Moresby,"CBSI, PNG, ACP","Honiara, Australia",,https://www.solomontimes.com/news/rental-boom-may-burst-one-day/186
87,,Central Bank Denton Rarawa,Solomon Islands,,https://www.solomontimes.com/news/government-records-sbd-39million-surplus-last-year/182
88,"Central Roviana, the Auki Kingz","Kokohale, the Avaiki Chiefs",Honiara,,https://www.solomontimes.com/news/kokohale-pushes-marist-to-the-brink/180
89,"Asia, Pacific","the Pacific Islands News Association, Media Association of Solomon Islands, MASI, the MASI Secretariat, Hughes, the Central Bank of Solomon Islands, the United Nations Economic and Social Commission","Honiara, the Western Province",,https://www.solomontimes.com/news/hughes-to-give-keynote-address-during-pina-convention/187
90,,the Asian Development Bank,Solomon Islands,,https://www.solomontimes.com/news/growth-rates-up-6/178
91,,"PINA, ANZ, Government, PNG",Solomon Islands,,https://www.solomontimes.com/news/anz-paves-the-way-with-solar-powered-banking/192
92,,"Myers, High Court",Zama,,https://www.solomontimes.com/news/former-finance-minister-charged-with-corruption/179
93,,"Guso Point, Hospital, the National Referral Hospital, Kukum Traffic Police",,,https://www.solomontimes.com/news/4-year-old-killed-in-traffic-accident/183
94,,"the Parliamentary Opposition, Fono, Legislature",,,https://www.solomontimes.com/news/solomon-islands-acting-pm-refutes-allegations/181
95,,"Transparency International, Society, the High Court, the Public Service Commission, Judicial, legal Services Commission",Solomon Islands,,https://www.solomontimes.com/news/charles-ashley-warns-moti-critics/177
96,Solomon Islands,"RAMSI, the Pacific Islands News Association Conference, the Solomon Islands Constitution -, The Regional Assistance Mission",,,https://www.solomontimes.com/news/ramsi-immunity-is-subject-to-the-constitution-george/188
97,the Solomon Islands,"The International Monetary Fund, Solomons","Solomon Islands, the Solomon Islands",,https://www.solomontimes.com/news/logging-exceeds-sustainable-levels/190
98,Solomon Islands,"the Media Association of Solomon Islands, MASI, the Regional Assistance Mission, the Pacific Islands News Association Convention","Honiara, Solomon Islands",,https://www.solomontimes.com/news/masi-should-stay-out-of-politics-tozaka/193
99,Pacific,"Pacific Islands New Association PINA, the Media Association of Solomon Islands, the Pacific Islands News Association","Australia, New Zealand, Honiara",,https://www.solomontimes.com/news/pina-convention-starts-today/174
100,,"Pacific, Wallace","Palau, Brisbane, Foxwood, Fiji, Apia, Samoa",,https://www.solomontimes.com/news/solomons-medal-prospects-at-the-spg-still-unclear/176
101,,"the Public Service Commission, the Public service commission, Police Commissioner""The Acting, the Police and Prison Service Commission, Andersen, the Commissioner of Police, PSC",,,https://www.solomontimes.com/news/psc-commission-may-be-referred-to-a-tribunal/166
102,Kossa FC,"the National Club Championship, Avaiki Chiefs, the Avaiki Chiefs, the Honiara DJ League","Honiara, Iniga, Koloale, Auki",,https://www.solomontimes.com/news/soccer-the-national-club-championship-begins/170
103,the Solomon Islands',"Sogavare, the World Health Assembly, State","Taiwan, Mr Sogavare's, The Solomon Islands",,https://www.solomontimes.com/news/sogavare-receives-medal-in-recognition-of-support/163
104,"Pacific, Pacific Island","PINA, the Media Association of Solomon Islands Secretariat, Pacific, the Pacific Islands News Association Conference","Honiara, Fiji, Tonga",,https://www.solomontimes.com/news/solomon-islands-hosts-pina-conference/165
105,,"Pacific Islands News Association, the Media Association of Solomon Islands, Ministry of Information","Taiwan, Solomon Islands, Honiara, Taipei, China",,https://www.solomontimes.com/news/taiwan-will-not-attend-pina/168
106,,"the Solomon Islands College of Higher Education, the Solomon Airlines, Solair, SICHE, Avaiki",Luapel,,https://www.solomontimes.com/news/rugby-hrua-games-over-the-weekend/169
107,,"Cabinet, Churches",Honiara,,https://www.solomontimes.com/news/government-gives-sbd393-million-in-tithes-to-churches/175
108,,"the Police and Prison Services Commission, the Public Service Commission, Andersen, the Government House",Fiji,,https://www.solomontimes.com/news/commission-in-the-dark-with-appointment/164
109,,"the Solomon Islands National Disaster Relief Fund, the Brunei Government, the National Disaster Council","Brunei, Australia, Canberra, US, Turkey, Brunei Darussalam, the Solomon Islands, Honiara",,https://www.solomontimes.com/news/brunei-donates-us50000-towards-post-tsunami-relief/172
110,Ranongga Island,Ranongga Disaster Fundraising Committee,"Ranongga Island, Western Province, Honiara",,https://www.solomontimes.com/news/ranongga-reportedly-missing-out-on-relief-supplies/173
111,,"the Small and Medium Enterprise Council, SMEC, the Auki Trade and Cultural Show, The 2007 Trade and Cultural, Maena, the Ministry of Commerce, the Trade and Cultural Show",Auki,,https://www.solomontimes.com/news/preparations-for-national-trade-show-underway/167
112,,"Government, Mr Fono",Washington,Mr Lilo,https://www.solomontimes.com/news/fono-was-never-offered-the-dpm-post-lilo/171
113,,"The Police and Prison Services Commission, Andersen, Government House, Police Commissioners",,,https://www.solomontimes.com/news/andersen-clarifies-his-position/162
114,Staff,"Solomon Islands Water Authority, Feeder, GM, Executive, Wantok",,,https://www.solomontimes.com/news/60-percent-of-water-collected-by-siwa-gone-to-waste/159
115,,Commission,,,https://www.solomontimes.com/news/commissioners-begin-dialogue-with-community/157
116,Pacific,"National Basketball Head, SPG, Coach Burn, Oceania Basketball","Apia, Samoa, Honiara, US, New Zealand, Fiji, Brisbane, Solomon Islands","14th""According to Burns",https://www.solomontimes.com/news/coach-burns-confident-of-basketball-squad/158
117,Oceania,"the Solomon Islands Amateur Wrestling Association, Freestyle, Satia, SPG, Katea Ureasi, Interim","Apia, Samoa, Katea Ureasi, Solomon Islands",,https://www.solomontimes.com/news/wrestling-eyes-gold-medal-in-spg-2007/150
118,,"Peoples Alliance Party, PAP, Kengava, Sogavare, Parliamentarians",,,https://www.solomontimes.com/news/pap-withdrawal-still-uncertain/154
119,Oceania,"Solympic, Cummins Menapi, Dudley Seda","Honiara, New Zealand, Temotu province, Menapi, Beijing",,https://www.solomontimes.com/news/charity-match-captivates-honiara-fans/160
120,the South Pacific Games,"Berry, NOCSI, KGVI, Matangiki",Solomon Islands,,https://www.solomontimes.com/news/touch-rugby-prepares-for-spg/149
121,,"Agriculture, Investment Corporation, Auluta Plantation, the Agriculture Ministry, the Department of Public Service",,,https://www.solomontimes.com/news/nuaiasi-is-new-agriculture-and-livestock-minister/155
122,,"the Australian High Commission Office, Justice, Customs, The Australian High Commission","Australia, Honiara, the Republic of China",,https://www.solomontimes.com/news/pm-cancels-acting-ags-trip-to-australia/156
123,,"the Police and Prison Service Commission, the Ministry of Police, the Public Service Commission, PSC, the Office of the Governor General, the Prime Ministers Office, PMO",,,https://www.solomontimes.com/news/sir-nathaniel-furious-over-attempted-delay/152
124,Provinces,"the Solomon Times Eddie Ngava, Makuru, SIFF, The National Club Championship","Honiara, Choiseul, Makuru, Koloale",,https://www.solomontimes.com/news/makuru-out-marist-in/161
125,Fiji Islands,"the Investment Cooperation, the Solomon Times, the Soltai Management, Ashabhai Company Limited, the Soltai Trade Mark, Ashabhai & Company, Soltai Tuna Products, the University of the South Pacific","Suva, Fiji",,https://www.solomontimes.com/news/fiji-company-wants-soltai-trade-mark/153
126,,"the Australia National University, Mr Moti, PNG, PNG Military","New Zealand, Australia, Solomon Islands, the Solomon Islands, Papua New Guinea, Vanuatu",,https://www.solomontimes.com/news/moti-issue-a-diplomatic-blunder-australian-academic/151
127,Naha Heights,,Naha Heights,,https://www.solomontimes.com/news/pedestrian-killed-in-freak-accident/138
128,the Solomon Islands,"The Solomon Islands Council of Trade Union, SICTU, Sogavare",Solomon Islands,,https://www.solomontimes.com/news/sictu-calls-on-governor-general-not-to-swear-in-moti/140
129,,"Radio Australia, Courts, DPP, the Solomon Islands Government, the Australian Government","the Solomon Islands, Australia",However Mr Downer,https://www.solomontimes.com/news/the-courts-should-decide-on-motis-fate-downer/143
130,"South Pacific Games, NOSCI",SPG,Samoa,,https://www.solomontimes.com/news/spg-bound-womens-soccer-team-progressing-well/148
131,,"The TARD Blog, SISA","the Solomon Islands, Fiji, Suva",,https://www.solomontimes.com/news/sisa-raises-sbd80000-for-tsunami-rehabilitation/142
132,,"Solomon Islands Police, the Government House, Fiji Assistant Commissioner Operations, Fiji Police, The Office of the Police, Castle",Fiji,,https://www.solomontimes.com/news/police-commissioner-khan-sworn-in-today/145
133,,,"Koloale, Misiga",,https://www.solomontimes.com/news/mela-kept-marists-hope-of-making-the-club-championship/136
134,"Asia Pacific, the Asia Pacific region, the Solomon Islands","The Solomon Islands Visitors Bureau, BBC, BBC World, the Solomon Islands Visitors Bureau, BBC World's, Client Solutions, Asia Pacific","Solomon Islands, Australia",Tokuru,https://www.solomontimes.com/news/visitors-bureau-launches-campaign-through-the-bbc/137
135,,"Foreign Affairs, Oxfam New Zealand, Mr Peters, NZD$30.84","The Solomon Islands, New Zealnd, New Zealand, the Solomon Islands, Western Province, Choiseul",,https://www.solomontimes.com/news/new-zealand-aid-to-solomon-islands-up-nzd128-million/147
136,Solomon Islands,"Sogavare, Government, Mr Moti, the Australian Government, the Courts of Vanuatu",,,https://www.solomontimes.com/news/calls-for-resignation-a-mockery-to-democracy-sogavare/144
137,,,,,https://www.solomontimes.com/news/sevens-preparations-on-target/141
138,,"the Ministry of Commerce, National Trade and Cultural Show, Wickham, the National Government's, National Independence Celebration, the Malaita Provincial Government, the Small and Medium Enterprise Council of Solomon Islands","Auki, Malaita province","Wickham, Mr Wickham",https://www.solomontimes.com/news/auki-to-host-2007-trade-and-cultural-show/139
139,,"Political, Protocols, the Ministry of Foreign Affairs, the Police Force",Taiwan,,https://www.solomontimes.com/news/sogavare-leaves-for-taiwan/146
140,Africa,"The National Parliamentary Opposition, the Police and Prison Services Commission, the Opposition Bench, the Royal Solomon Islands Police, The Leader of Opposition, PM",Solomon Islands,,https://www.solomontimes.com/news/sogavare-wants-power-over-police-fono/135
141,,,Honiara,,https://www.solomontimes.com/news/vanessa-quai-to-assist-in-tsunami-drive/132
142,Solomon Islands,RAMSI,Solomon Islands,,https://www.solomontimes.com/news/solomon-islanders-want-ramsi-to-remain-says-maina/336
143,,,"Kakaza village, Honiara",,https://www.solomontimes.com/news/crocodile-attack-in-choiseul-province/337
144,"Solomon Islands, the Solomon Islands","the Solomon Islands Marine Mammal Education Centre, the International Union, Natural Resources, the Solomon Islands Government, the Convention on International Trade in Endangered Species of Wild Fauna, CITES, Party, CITES Article IV, the affected dolphin population(s)"", Sogavare","Flora, the Solomon Islands",Appendix II of the Convention,https://www.solomontimes.com/news/porter-reveals-plans-to-export-dolphins/342
145,,"the Solomon Islands National Provident Fund, NPF, Bank of South Pacific, SOE, The National Provident Fund, the National Provident Fund",,,https://www.solomontimes.com/news/npf-announces-record-18-per-cent-payout/344
146,Gizo sea,"Malakerava, Radio Happy Lagoon",,,https://www.solomontimes.com/news/strong-whirlwinds-strike-gizo-town/341
147,,"the Solomon Islands Football Federation, FIFA World Club Championships, SIFF, Ngava, Dudley Seda, Gibson Osea","Menapi, Waitakere United, Japan, Honiara, Augustine Anisi, Fulton Temoa",the Malaita for Western and Choiseul Rehabilitation Committee,https://www.solomontimes.com/news/menapi-to-feature-in-charity-match/134
148,,"the Ministry of Finance and Trade, the Central Bank, Policy Analyst, the Solomon Islands Government's, Economic Reform Unit, Cabinet, the Australian Treasury, the Regional Assistance Mission's",,,https://www.solomontimes.com/news/public-policy-workshop-successful/340
149,,"Police Force, Sogavare, Fono",Guadalcanal Province's,,https://www.solomontimes.com/news/opposition-warns-the-police-commissioner-over-rearming/338
150,,"the National Trade Show, SIBC, Foreign Affairs and Trade Relations, Patteson Oti, Maena, the Solomon Times, Auki","Auki, Kilusakwalo, Honiara",Trade Show,https://www.solomontimes.com/news/national-trade-show-opens-today/343
151,,"Alliance Party, PAP, GCC, the Association of Independent Members, AIM, PMO",,,https://www.solomontimes.com/news/pap-unofficially-joins-the-government/131
152,,"Australian Protective Service, High Court",Honiara,,https://www.solomontimes.com/news/not-guilty-verdict-in-dunning-murder-case/133
153,,The High Courts,Honiara,,https://www.solomontimes.com/news/dunning-verdict-expected-today/130
154,,"Hon, the Grand Coalition, Parliament, the Association of Independent Members of Parliament, the Grand Coalition for Change Government",Isabel Province,,https://www.solomontimes.com/news/mp-varian-lonamai-joins-government/324
155,,"SIVBF, FIVB International Volleyball Symposium, the FIVB Development Commission, Oceania Volleyball Development Officer","Apia, Samoa, Australia, Saskatchewan, Canada",,https://www.solomontimes.com/news/ramsi-assists-volleyball-players/329
156,,"SIBC, National Trade and Cultural Show, Maena, Auki Primary School, the Agriculture and Livestock Show, the Foreign Affairs",Honiara,,https://www.solomontimes.com/news/auki-ready-to-host-2007-trade-and-cultural-show/334
157,,"NSW, Waige Turueke, Grafton, SPG","Australia, Apia, Samoa, Honiara",,https://www.solomontimes.com/news/national-basketball-team-nsw-tour-result/333
158,the South Pacific Games,Operations,"Solomon Islands, the Solomon Islands",,https://www.solomontimes.com/news/telekom-seeks-out-the-fittest-and-fastest-organization/328
159,,Government,the Solomon Islands,,https://www.solomontimes.com/news/facilitation-act-will-not-be-amended-says-maina/326
160,,"The Asian Development Bank, ADB, the Asian Development Fund, ADF, the Solomon Islands Government, The European Commission, EC, the Turkish Weekly, Pacific Department, the Emergency Assistance Project, ADB Transport Specialist and Team Leader of the Emergency Assistance Project",Solomon Islands',,https://www.solomontimes.com/news/adb-approves-us495-million-for-post-tsunami-work/330
161,the Panatina Oval,"Matangiki, Honiara Rugby Union Association League, Airlines, Avaiki",,,https://www.solomontimes.com/news/hrua-weekly-game-result/332
162,,"Council, City Council, the Honiara City Council",Honiara City,,https://www.solomontimes.com/news/urban-drift-a-ticking-time-bomb-says-lord-mayor/335
163,"Pacific, the South Pacific Games","Oceania Athletic Federation, Chris Votu3","Cairns Australia, Melanesia, Honiara, Solomon Islands, Squad, Apia Samoa",,https://www.solomontimes.com/news/as-announces-final-squad-to-melanesian-championship/339
164,the Solomon Islands',"Rural Development Fund, Parliament, the Taiwanese Government","Honiara, Solomon Islands, Taiwan, the Solomon Islands",,https://www.solomontimes.com/news/sbd10-million-from-taiwan-for-rcdf/327
165,,"Guadalcanal, Sogavare","Honiara, Alasia",Terms of Reference,https://www.solomontimes.com/news/land-enquiry-commission-soon-to-be-appointed/331
