,inflation,date,application_software,inflation_rate,form,economy,rate,economics,government,system,unemployment,interest,consumer_price_index,calculation,gross_domestic_product,price,formula,consumer,index,gdp_deflator,cost,food,food_prices,staple_food,sugar,purchasing_power,purchasing,purchasing_power_parity,definition,theory,income,exchange_rate,interest_rate,money,"purchasing_power,_llc",value-added_tax,constraint,market,goods,cash,samsung,iphone,trends
10,4,2015-11-01,0,0,44,34,67,39,43,53,0,43,0,36,0,38,39,0,30,88,53,52,0,0,45,0,0,0,73,58,45,77,58,52,0,0,0,53,51,29,79,68,1351
11,0,2015-12-01,0,0,44,18,51,0,27,32,0,29,0,0,0,38,18,27,38,0,47,41,0,70,52,0,0,0,48,21,27,100,0,45,0,0,0,55,0,26,99,77,1030
12,0,2016-01-01,0,0,35,16,45,38,31,39,0,18,0,41,0,32,20,45,22,0,41,54,0,0,40,0,0,0,51,28,52,69,0,50,0,0,0,44,39,35,83,65,1033
13,0,2016-02-01,0,0,43,39,48,48,57,73,0,30,0,44,0,25,39,50,16,0,46,71,0,0,54,0,0,0,76,48,56,51,0,49,0,0,0,40,0,35,79,68,1185
14,0,2016-03-01,0,0,46,35,64,78,40,75,0,55,0,59,0,34,44,61,14,0,54,84,0,0,38,0,0,0,94,71,53,66,0,51,0,0,0,66,39,38,92,70,1421
15,4,2016-04-01,0,0,41,48,54,68,42,65,42,45,0,58,0,32,50,69,29,0,43,53,0,0,60,0,0,0,89,56,53,53,0,41,0,0,67,71,34,48,77,57,1449
16,3,2016-05-01,0,0,41,27,65,25,49,76,0,46,0,60,0,35,52,40,22,0,52,58,0,0,53,0,0,0,100,63,36,79,50,55,0,0,0,65,31,48,76,52,1359
17,0,2016-06-01,0,54,38,25,67,37,41,68,19,39,0,53,100,34,52,42,42,0,50,51,0,0,43,0,0,0,95,69,45,66,0,60,0,0,0,51,43,40,86,57,1467
18,0,2016-07-01,0,0,32,38,56,42,37,72,31,48,0,52,0,32,41,43,14,0,49,65,0,0,60,0,0,0,77,49,46,69,0,48,0,0,0,41,60,35,87,58,1282
19,0,2016-08-01,0,100,36,46,43,48,37,68,0,37,0,51,0,29,39,40,0,0,59,59,83,0,53,0,0,0,82,60,22,58,43,42,0,0,0,59,37,42,86,60,1419
20,0,2016-09-01,0,0,38,39,65,62,46,68,0,47,0,76,0,40,58,29,21,0,58,67,0,0,56,0,0,0,86,55,53,55,0,43,0,0,0,61,41,39,90,80,1373
21,0,2016-10-01,0,0,36,25,61,53,40,55,21,61,0,39,0,33,54,39,33,0,58,62,0,0,50,0,0,0,79,63,50,50,41,48,0,0,0,48,57,44,78,59,1337
22,0,2016-11-01,0,0,35,36,48,22,28,48,0,39,0,33,0,34,34,0,35,0,37,50,0,0,34,0,0,0,68,42,27,65,0,52,0,0,0,66,25,50,73,66,1047
23,3,2016-12-01,0,0,35,0,48,0,20,24,0,21,0,64,0,33,20,29,29,0,31,42,0,0,33,0,0,0,45,20,14,60,0,41,0,0,0,46,0,32,96,68,854
24,0,2017-01-01,0,0,43,30,47,51,35,42,27,70,0,61,0,33,35,41,18,0,46,60,0,0,46,0,0,0,58,25,63,66,0,51,0,0,0,53,0,45,78,65,1189
25,0,2017-02-01,0,0,40,45,42,57,42,74,0,50,0,68,0,36,53,76,23,0,47,75,0,0,57,0,85,0,87,66,42,42,0,54,0,0,0,76,41,43,77,63,1461
26,0,2017-03-01,0,0,46,36,62,56,46,82,0,57,0,73,0,37,79,77,21,0,65,79,0,0,63,0,81,0,99,75,57,52,0,57,0,0,0,79,57,57,85,51,1629
27,0,2017-04-01,0,0,39,32,62,35,42,84,27,42,0,51,0,32,58,56,24,0,47,68,0,0,88,0,65,0,85,74,32,63,0,50,0,0,0,78,56,50,76,60,1476
28,0,2017-05-01,46,0,39,29,58,43,33,86,25,40,0,75,0,35,66,42,31,0,45,75,0,0,57,0,0,0,89,64,43,55,0,56,0,0,0,58,35,39,78,56,1398
29,0,2017-06-01,0,0,31,31,60,43,34,64,0,43,0,51,0,33,56,46,35,0,62,57,0,0,55,0,0,0,81,47,41,71,0,45,0,0,0,48,38,41,82,56,1251
30,5,2017-07-01,0,0,32,62,66,30,39,64,0,37,0,52,0,37,54,43,30,0,67,70,94,0,75,0,0,0,73,54,58,88,0,50,0,0,0,50,51,36,73,66,1456
31,4,2017-08-01,0,0,37,75,64,41,44,75,35,48,0,38,0,35,63,43,38,0,74,68,0,0,70,0,0,0,76,50,33,65,41,58,0,0,0,70,67,59,83,68,1522
32,4,2017-09-01,0,0,38,54,71,37,51,70,36,50,0,45,0,38,63,0,33,0,80,81,0,0,53,0,0,0,77,60,39,51,41,56,0,0,0,76,48,28,86,91,1457
33,4,2017-10-01,0,0,40,34,81,61,31,76,37,55,0,0,0,41,74,56,66,0,78,67,0,0,65,0,0,0,82,74,37,83,34,62,0,0,0,79,54,49,75,65,1560
34,4,2017-11-01,0,0,38,44,58,25,32,55,0,52,0,55,0,43,39,79,34,0,61,52,0,0,49,0,0,0,60,34,38,64,0,63,0,0,0,60,34,44,80,82,1279
35,0,2017-12-01,0,0,35,29,49,0,29,33,0,20,0,0,0,47,19,39,48,0,41,49,0,0,50,0,0,85,31,27,33,62,0,44,0,0,0,39,0,34,100,82,1025
36,3,2018-01-01,0,0,49,34,47,69,43,46,0,32,0,0,0,45,41,88,38,0,53,63,0,0,60,0,0,0,54,27,59,57,38,54,0,0,0,58,0,28,81,84,1251
37,0,2018-02-01,0,0,43,38,52,71,38,80,0,41,0,75,0,39,40,39,44,0,56,71,0,0,67,0,0,0,72,48,45,56,49,43,0,0,0,59,53,50,70,60,1399
38,4,2018-03-01,0,0,41,52,71,54,41,84,41,55,0,44,0,41,69,64,46,0,58,70,0,0,65,0,40,0,73,75,42,56,44,51,0,0,100,82,33,46,68,53,1663
39,0,2018-04-01,0,0,51,43,52,57,43,83,28,44,0,72,0,37,50,70,60,0,69,59,0,0,63,0,41,0,71,61,40,44,71,46,0,0,0,75,63,44,72,63,1572
40,5,2018-05-01,0,0,45,54,70,51,53,78,0,66,0,70,0,47,69,29,59,0,71,70,0,0,67,0,0,0,70,66,42,59,0,52,0,0,0,78,49,50,74,67,1511
41,3,2018-06-01,0,0,36,31,50,34,37,59,0,43,0,0,0,43,38,56,51,0,43,73,0,0,49,0,0,0,54,47,45,41,0,55,0,0,0,80,36,42,72,58,1176
42,0,2018-07-01,0,0,42,58,58,60,41,63,0,46,0,75,0,43,58,43,72,0,45,66,0,0,50,0,0,0,55,50,30,55,0,46,0,0,0,44,46,35,82,60,1323
43,4,2018-08-01,0,0,42,69,76,64,36,66,42,52,0,58,0,44,50,68,50,0,65,62,0,0,55,0,0,0,63,72,37,70,34,49,0,0,0,78,43,51,78,62,1540
44,4,2018-09-01,0,0,42,53,68,44,41,78,33,51,0,66,0,41,65,58,55,0,79,70,0,0,55,0,0,0,58,41,43,77,34,57,0,0,0,61,50,47,69,66,1506
45,3,2018-10-01,0,0,38,43,79,34,39,68,19,70,0,82,68,41,81,53,82,0,72,61,0,0,67,0,55,0,64,59,47,75,58,65,100,0,0,83,41,58,60,49,1814
46,0,2018-11-01,0,0,50,28,61,35,40,49,0,32,0,0,0,48,39,31,66,0,49,49,0,0,51,0,0,0,42,33,12,80,0,58,0,0,0,42,27,43,85,64,1114
47,0,2018-12-01,0,0,52,27,55,26,28,32,0,35,0,0,0,54,14,60,62,0,41,53,90,0,52,0,0,0,25,14,17,60,0,50,0,0,0,78,26,43,85,72,1151
48,0,2019-01-01,0,0,60,48,56,55,44,51,0,31,0,0,0,43,29,43,81,0,52,68,0,0,50,0,0,0,38,21,50,54,0,59,0,0,0,60,32,38,86,68,1217
49,0,2019-02-01,0,0,55,60,59,87,50,83,0,26,0,43,0,41,53,74,74,0,65,76,0,0,66,0,0,0,69,59,55,56,0,58,0,0,0,55,42,36,72,45,1459
50,4,2019-03-01,44,0,49,54,76,63,54,90,0,73,0,34,0,47,75,83,74,0,62,79,0,0,67,0,0,0,65,100,65,85,38,56,0,0,0,94,39,40,66,59,1735
51,0,2019-04-01,0,0,48,48,87,53,46,84,0,64,0,59,0,47,63,83,100,0,62,65,0,0,56,0,62,0,63,71,72,65,52,50,0,0,0,86,72,60,73,54,1745
52,4,2019-05-01,0,0,47,67,81,80,48,85,35,54,0,54,0,53,74,56,86,0,71,66,0,0,55,0,0,0,64,85,63,74,83,47,0,0,0,94,70,67,95,55,1813
53,0,2019-06-01,0,0,38,71,68,38,43,56,0,58,0,52,0,48,61,55,72,0,55,72,0,0,55,0,0,0,44,31,38,62,0,62,0,0,0,62,33,40,85,48,1347
54,0,2019-07-01,0,0,46,60,53,68,36,66,24,54,0,85,87,52,62,56,55,0,59,64,0,0,64,0,0,0,45,56,37,60,50,57,0,0,0,71,32,48,89,62,1598
55,0,2019-08-01,0,0,42,67,70,47,43,67,0,48,0,58,0,52,75,57,31,0,78,71,0,0,59,0,0,0,49,65,51,57,0,61,0,0,0,68,41,38,80,57,1432
56,3,2019-09-01,0,0,50,58,78,56,48,73,49,60,0,73,0,52,67,47,43,0,85,94,0,0,76,0,0,0,53,64,42,65,53,62,0,0,0,77,59,38,69,75,1669
57,4,2019-10-01,0,0,54,49,83,56,44,73,0,56,0,81,0,48,75,64,60,100,79,65,0,0,61,0,0,0,49,53,46,80,0,52,0,0,0,80,59,44,78,69,1662
58,0,2019-11-01,0,0,53,34,63,30,31,44,0,42,0,42,0,59,50,54,49,0,71,59,0,0,53,0,0,0,32,28,22,79,0,59,0,0,0,57,31,42,85,70,1239
59,0,2019-12-01,0,0,44,32,47,17,22,27,0,52,0,35,0,52,32,50,44,0,65,54,0,0,46,0,0,0,20,17,31,51,0,56,0,0,0,50,0,28,84,77,1033
60,0,2020-01-01,0,0,51,45,63,57,43,45,0,51,0,48,0,47,32,63,48,0,66,61,0,0,58,0,0,0,31,17,47,80,0,65,0,0,0,60,20,28,74,65,1265
61,0,2020-02-01,0,0,57,72,69,72,51,85,22,55,0,0,0,51,58,73,44,0,65,92,0,0,49,0,0,0,53,70,50,54,0,71,0,0,0,62,30,38,72,54,1469
62,0,2020-03-01,0,0,48,55,74,31,70,77,43,43,0,45,0,47,64,47,51,0,60,93,100,0,49,0,0,0,53,78,45,67,29,61,0,0,0,69,43,48,69,55,1614
63,0,2020-04-01,0,0,53,71,63,46,59,66,100,52,0,49,0,51,50,90,46,0,53,97,0,0,77,0,0,0,46,70,48,53,38,73,0,0,0,68,53,35,75,56,1638
64,3,2020-05-01,0,0,53,96,75,60,76,100,58,73,0,70,0,61,82,100,40,0,85,100,0,42,100,0,47,0,57,69,66,53,65,69,0,0,0,86,83,66,90,55,2080
65,4,2020-06-01,0,0,56,90,91,53,84,94,49,100,0,100,0,58,94,65,53,0,100,78,0,0,75,0,0,0,55,76,67,69,100,69,0,0,0,100,100,100,88,55,2123
66,0,2020-07-01,0,0,53,100,61,23,67,61,30,44,0,64,66,64,56,89,47,0,58,85,0,0,93,0,0,0,44,25,50,60,0,60,0,0,0,61,86,36,89,53,1625
67,0,2020-08-01,0,0,47,97,59,49,62,84,32,51,0,66,0,57,75,90,41,0,74,86,0,0,72,0,0,0,46,77,67,49,38,59,0,0,0,70,86,60,77,55,1726
68,6,2020-09-01,0,0,50,69,71,53,53,78,30,65,0,58,0,57,79,91,46,0,71,77,0,0,85,0,49,100,41,69,42,45,0,57,0,0,0,77,75,33,84,51,1762
69,4,2020-10-01,0,0,45,73,58,34,55,77,35,64,0,71,0,51,80,54,35,0,58,93,0,0,73,0,0,0,43,54,40,40,0,64,0,0,0,60,46,40,66,56,1469
70,0,2020-11-01,0,0,43,48,53,74,40,67,0,59,0,74,0,60,78,77,39,0,64,75,0,0,63,0,0,0,42,44,36,46,0,62,0,0,0,70,58,44,69,57,1442
71,0,2020-12-01,0,58,40,16,41,39,34,30,0,36,0,31,0,58,28,57,31,0,54,50,0,0,61,0,0,0,23,15,28,33,0,52,0,0,0,48,0,28,75,59,1025
72,0,2021-01-01,0,0,60,36,47,32,41,42,31,45,0,42,0,60,17,57,28,0,56,59,0,0,79,0,0,0,26,20,47,47,0,65,0,0,0,43,0,28,84,66,1158
73,0,2021-02-01,0,0,57,77,39,45,50,64,23,66,0,36,0,64,15,53,32,0,62,73,0,0,83,0,0,0,34,23,43,41,0,74,0,0,0,54,42,53,100,61,1364
74,5,2021-03-01,0,0,54,61,61,63,58,99,27,57,0,53,0,59,63,84,33,0,53,78,0,0,88,0,38,0,49,56,58,42,66,76,0,0,0,56,50,48,71,53,1659
75,5,2021-04-01,0,0,45,56,51,33,64,70,37,50,0,47,0,56,77,42,31,0,67,60,0,0,61,0,0,0,38,58,40,39,0,78,0,0,0,59,39,63,90,53,1409
76,0,2021-05-01,0,0,45,48,47,24,76,59,60,36,0,47,0,53,50,41,44,0,63,69,0,0,91,0,0,0,30,58,34,19,0,74,0,0,0,60,40,77,86,51,1382
77,0,2021-06-01,0,0,45,54,53,41,71,70,37,45,0,49,0,59,63,58,15,0,66,75,0,0,84,0,61,0,33,57,37,32,39,68,0,0,0,55,70,82,95,60,1574
78,0,2021-07-01,0,0,46,42,54,42,78,63,27,44,0,26,0,68,48,42,24,0,56,76,0,0,76,0,0,0,30,28,37,21,0,78,0,0,0,49,56,88,98,63,1360
79,0,2021-08-01,0,0,60,64,53,14,98,64,65,47,0,37,0,76,56,46,28,0,53,78,0,0,74,0,0,0,32,47,49,34,0,61,0,0,0,54,33,84,94,64,1465
80,0,2021-09-01,0,0,66,53,61,48,84,76,47,59,0,30,0,65,82,58,26,0,62,82,0,0,92,0,50,0,32,60,55,39,34,81,0,0,0,61,84,93,82,69,1731
81,3,2021-10-01,0,0,60,66,55,39,91,81,56,65,0,75,0,62,78,83,30,0,65,89,0,0,84,0,0,0,30,39,68,41,39,73,0,0,0,55,69,76,81,67,1720
82,4,2021-11-01,0,0,65,47,72,41,66,77,29,66,0,63,0,62,87,57,41,0,71,76,0,0,56,0,0,0,28,25,42,39,34,72,0,0,0,50,61,74,81,64,1550
83,0,2021-12-01,0,0,53,34,49,38,52,37,51,34,0,39,0,67,39,38,23,0,54,59,0,0,60,0,0,0,18,26,25,52,0,77,0,0,0,43,0,49,77,75,1169
84,0,2022-01-01,0,0,71,43,69,27,56,48,0,55,0,36,0,70,38,51,24,0,71,70,0,0,76,0,0,0,27,17,31,67,34,73,0,0,0,49,37,49,84,78,1351
85,5,2022-02-01,0,43,78,47,78,65,58,71,0,54,0,25,0,72,77,80,27,0,74,87,0,0,92,0,38,0,30,32,35,71,0,78,70,0,0,53,55,65,93,79,1732
86,4,2022-03-01,0,0,81,59,83,54,53,68,31,63,0,56,0,79,68,52,28,0,79,76,0,0,70,0,0,0,30,28,40,77,47,70,0,0,0,45,42,55,82,70,1590
87,2,2022-04-01,0,0,70,72,87,100,61,88,24,73,0,58,0,70,80,67,38,0,86,73,0,0,62,0,35,0,39,87,92,66,61,74,0,0,41,79,53,59,79,63,1939
88,5,2022-05-01,0,0,73,94,91,70,60,97,43,75,0,42,0,75,85,90,39,0,85,89,0,0,72,0,0,0,38,74,74,50,30,71,0,0,0,77,58,64,71,64,1856
89,7,2022-06-01,0,0,71,95,92,67,58,83,45,84,0,81,0,71,95,72,30,0,84,97,0,0,68,0,0,0,37,60,60,71,44,70,0,0,0,82,64,56,74,62,1880
90,5,2022-07-01,0,0,65,70,88,60,53,66,18,70,0,62,0,76,69,58,23,0,78,83,0,0,79,0,29,0,30,36,56,64,0,91,0,0,0,70,44,55,83,76,1657
91,52,2022-08-01,36,0,94,70,73,58,87,91,23,56,0,47,0,68,78,41,29,0,66,89,0,0,76,0,29,0,31,41,54,59,24,72,0,0,0,65,52,54,79,75,1769
92,100,2022-09-01,0,0,100,80,83,44,100,92,31,64,0,44,0,69,78,50,32,0,78,91,0,0,90,0,0,0,32,64,49,60,38,68,0,0,0,73,83,64,67,82,1906
93,16,2022-10-01,0,0,68,61,76,42,47,70,28,46,0,46,0,66,64,44,35,0,74,75,0,0,76,0,0,0,26,28,49,59,0,70,0,0,0,76,59,33,66,80,1480
94,7,2022-11-01,33,0,67,64,92,60,52,80,37,77,0,76,0,74,97,48,31,0,73,85,0,0,76,0,28,0,34,59,56,77,51,85,0,0,0,82,66,59,63,73,1862
95,3,2022-12-01,0,0,54,36,61,25,63,45,20,35,0,26,0,69,41,43,15,0,68,56,0,0,51,0,0,0,15,20,19,57,24,67,0,0,0,49,29,37,72,93,1193
96,4,2023-01-01,0,0,80,30,80,15,71,38,16,57,0,35,0,80,28,36,30,0,73,71,0,0,76,0,0,0,16,19,53,69,45,76,0,0,0,59,32,46,85,89,1409
97,2,2023-02-01,50,0,75,47,80,94,63,65,0,62,0,60,0,68,48,33,20,0,75,71,0,0,61,0,0,0,29,31,100,78,38,64,0,0,0,51,35,41,67,78,1586
98,3,2023-03-01,0,0,64,53,83,64,56,92,20,69,0,65,0,68,89,83,28,0,78,82,0,0,67,0,0,0,35,63,74,80,45,67,0,0,0,80,73,60,63,78,1782
99,4,2023-04-01,0,31,59,44,91,54,50,72,15,73,0,56,0,77,65,51,26,0,79,87,0,0,78,0,38,0,27,38,51,69,62,68,0,0,0,58,62,47,63,74,1669
100,3,2023-05-01,0,0,63,38,91,31,47,65,22,57,0,66,0,74,76,60,25,0,81,85,0,0,83,0,0,0,25,37,52,71,30,67,0,0,0,60,39,45,77,73,1543
101,0,2023-06-01,0,0,64,49,98,33,55,76,0,97,0,84,0,79,100,46,23,0,68,85,0,29,75,0,35,0,30,34,59,84,59,93,0,0,0,51,49,58,76,76,1765
102,2,2023-07-01,0,0,63,37,89,48,38,49,19,41,0,65,0,82,67,45,24,0,73,76,0,0,53,0,0,0,22,19,52,93,25,89,0,0,0,51,28,52,80,77,1459
103,0,2023-08-01,0,0,64,47,100,45,47,67,24,61,0,88,0,85,73,63,25,0,80,73,0,0,55,0,0,0,24,31,51,98,37,100,0,0,0,77,56,48,71,69,1659
104,3,2023-09-01,0,0,59,32,79,34,42,54,26,58,0,36,0,83,65,58,25,0,76,71,0,0,77,0,38,0,20,27,41,60,29,91,0,0,0,69,55,54,71,95,1528
105,3,2023-10-01,0,62,63,35,80,24,51,65,31,57,0,50,0,69,70,59,22,0,65,87,0,0,81,0,43,0,24,26,45,62,43,75,0,0,0,67,59,51,66,70,1605
106,6,2023-11-01,0,0,77,33,81,45,45,53,22,77,0,58,0,81,73,17,25,0,77,77,0,0,67,0,31,0,24,26,48,71,0,70,0,0,0,60,42,55,69,85,1495
107,0,2023-12-01,0,0,48,17,72,0,29,30,0,42,0,0,0,100,23,29,0,0,70,60,0,0,58,0,0,0,11,8,34,77,24,81,0,0,0,51,21,28,84,98,1095
108,2,2024-01-01,0,0,71,25,79,19,36,36,0,54,0,43,0,88,25,41,21,0,82,64,0,0,67,0,0,0,14,11,31,59,34,72,0,0,0,43,28,36,89,100,1270
109,0,2024-02-01,0,0,61,45,70,69,43,73,22,66,0,49,0,80,32,57,15,0,82,74,0,0,69,0,0,0,26,28,71,69,24,75,0,0,0,61,21,45,68,74,1469
110,3,2024-03-01,4,2,57,43,72,42,36,72,6,66,0,14,0,72,67,54,33,0,78,77,5,0,71,0,48,0,26,46,49,47,42,72,0,0,0,56,40,39,61,80,1480
111,3,2024-04-01,0,10,64,40,80,41,50,72,24,63,0,31,14,74,75,52,31,0,83,91,0,0,69,0,16,0,24,33,51,61,28,70,0,0,0,59,39,44,59,81,1532
